# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 27 08:42:40 EDT 2024 [seed=17336]
# -overwrite -beagle_cuda -beagle_double -beagle_order 1 -seed 17336 -errors 1000 omicron_SC_EXP_lamda_1B_fixedclock_gamma_corrected.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	clock.rate	meanRate	copies.precision.col1	copies.varCovar.copies.precision.col1	copies.diffusionRate	copies.lambda	treeLikelihood	branchRates	copies.traitLikelihood	coalescent
1000000	-57001.60427241143	-570.932217147771	-56430.67205526366	5.098672178882376	2017.4109168211176	67.35890216434525	2.309828759687156	-0.9570411481551975	1.8666662719659108	0.01616475180988885	0.0011	0.0011000000000000007	0.0013193531364526522	757.9471881870098	4.777804031900796	0.9998409228935373	-56064.21485309416	0.0	-366.45720216949775	-559.0777217252485
1100000	-56933.093640872044	-558.4058656651263	-56374.68777520692	5.255260251037502	2017.2543287489625	65.14672230428813	2.3962344188682985	-0.7399602990048983	1.7309607790190311	0.021375109754664005	0.0011	0.0011000000000000016	0.001424409040015919	702.0455303968193	4.824242158440631	0.9998409228935373	-56020.69298215882	0.0	-353.9947930481016	-546.5235339914402
1200000	-56941.71543179798	-554.8832212690768	-56386.832210528904	5.445100745593753	2017.0644882544063	66.59677860728212	2.0962300339981286	-0.9920954438280674	1.7048578712542266	0.040054556446594405	0.0011	0.0011000000000000007	0.0016053977370503272	622.8985982236072	4.182346047585955	0.9998409228935373	-56035.73830936542	0.0	-351.0939011634869	-543.0456015961748
1300000	-56956.38068061344	-551.6137812720301	-56404.766899341404	5.408477350487011	2017.101111649513	66.25778366429515	2.2245389705554293	-0.7792073434964377	1.7551912459670995	0.03587994044300475	0.0011	0.0010999999999999996	0.001043689826317665	958.1390704249642	4.941233874856732	0.9998409228935373	-56041.67472830868	0.0	-363.09217103272726	-539.922136264591
1400000	-56957.54429541738	-571.7268532864566	-56385.81744213092	5.13525826058839	2017.3743307394116	66.54993010470835	2.5508126441898926	-0.7663480489139824	1.7907946902932732	0.010344669606014486	0.0011	0.0010999999999999992	0.0015911556571382	628.4740248471774	4.483714948735768	0.9998409228935373	-56039.194523666	0.0	-346.62291846491996	-559.7238334176626
1500000	-56985.46244158188	-576.5118337160302	-56408.95060786585	5.694356688500951	2016.8152323114991	68.02678868549701	2.633041993418423	-0.6493070057764141	1.8205308583030726	0.01602651603206843	0.0011	0.0010999999999999983	0.0017312143710634074	577.6292160662604	4.120667956963217	0.9996767748744044	-56063.49665130017	0.0	-345.45395656567797	-565.1212805767943
1600000	-56967.39210156286	-573.0086799628817	-56394.383421599974	5.417400994416217	2017.0921880055837	69.70677139114484	2.221034545195627	-0.8495557570680161	1.6404654849379152	0.006479500773067371	0.0011	0.0010999999999999981	0.0012373372234184624	808.1871142914805	4.7774836256271245	0.9996767748744044	-56021.1412222241	0.0	-373.2421993758742	-562.0475198477387
1700000	-56998.55024868926	-590.1089851690149	-56408.441263520246	5.873944751254197	2016.6356442487458	71.50646535308731	2.7256554822468035	-0.5969564774449139	1.7291877826349313	0.0066845599452301984	0.0011	0.0010999999999999994	0.0016243135756926494	615.6446729034903	3.9057508387796385	0.9996767748744044	-56070.63637804244	0.0	-337.80488547780215	-578.7724144099258
1800000	-56947.78175636355	-562.2816819111259	-56385.50007445242	5.444074560393113	2017.0655144396069	67.28018046711938	2.6321450239014816	-0.7745970379500924	1.839649009770276	0.037790025194280666	0.0011	0.0011000000000000003	0.0013956744690912448	716.499457535483	4.27475362450868	0.9996767748744044	-56032.140699508665	0.0	-353.3593749437576	-550.9467785937205
1900000	-56949.90742287986	-558.3658087121266	-56391.541614167734	5.193885601275603	2017.3157033987245	67.04500124082085	2.160300850281087	-0.7982789641773445	1.8044147611526304	0.03393113569213306	0.0011	0.0010999999999999988	0.0016501042666406042	606.0223103573138	4.279182064646631	0.9996767748744044	-56049.5843594457	0.0	-341.9572547220394	-547.1664670808817
2000000	-57013.752405074716	-582.7990306033253	-56430.95337447139	5.098506082122656	2017.4110829178774	67.1692453863853	2.760812888791788	-0.7670298523830297	1.9875170435374137	0.026345726852392032	0.0011	0.0010999999999999994	0.0014753332282420343	677.812971915214	4.329361255993302	0.9996767748744044	-56071.69057845404	0.0	-359.26279601734893	-571.3516665808371
2100000	-56989.54570819283	-582.9443201439632	-56406.60138804887	5.108823459788611	2017.4007655402113	69.54823642794372	2.2876092357930364	-0.9113261886369683	1.836160966468867	0.0171425739844624	0.0011	0.0010999999999999981	0.001360100917597738	735.2395598454842	4.474494503899556	0.9996395206473535	-56046.438429797876	0.0	-360.16295825099246	-571.9130343280887
