# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Sep 26 16:02:47 EDT 2022 [seed=27602]
# -beagle_scaling always -overwrite -threads 8 -beagle_SSE -beagle_opencl -beagle_instances 4 -seed 27602 -errors 1000 omicron_SC_EXP_lamda_500M_fixedclock_gamma.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	clock.rate	meanRate	copies.precision.col1	copies.varCovar.copies.precision.col1	copies.diffusionRate	copies.lambda	treeLikelihood	branchRates	copies.traitLikelihood	coalescent
1400000	-60419.412587724095	-698.3806908763581	-59721.03189684774	5.877718405995696	2016.6318705940043	85.71043367453053	3.1382042761353652	-0.7113508898965253	1.7064231965246839	0.022348762381341904	0.0011	0.0010999999999999998	0.001184564199418535	844.1923202565705	3.953360551080016	0.9997304653672264	-59384.51857401964	0.0	-336.51332282809506	-686.8565420936682
1450000	-60392.978158523445	-701.0683427673479	-59691.909815756095	5.357450417088203	2017.152138582912	81.7162972015104	3.6965089442082286	-0.7130105742949226	1.5657275387665224	0.039291985381317104	0.0011	0.001100000000000001	0.0013690705864835987	730.4225288839626	4.061836421569245	0.9997304653672264	-59350.77048017119	0.0	-341.13933558490913	-689.3321202653835
1500000	-60413.444448383256	-698.2365664997525	-59715.2078818835	5.569646808336402	2016.9399421916637	83.05342027647778	4.181266392709979	-0.5508450748476055	1.622427679350338	0.019682524380066083	0.0011	0.0011000000000000012	0.0016236897266535201	615.8812139934113	3.7873146800597377	0.9997304653672264	-59386.97376141476	0.0	-328.23412046873773	-686.3091287225582
1550000	-60443.62771515794	-713.4063254283114	-59730.22138972963	5.543118181925753	2016.9664708180742	85.40785453546209	4.717549026318124	-0.5230595045427608	1.6227964709227947	0.029893279098480337	0.0011	0.0011000000000000018	0.0015557340476504374	642.7833867300518	3.545718936092832	0.9997304653672264	-59393.85729751929	0.0	-336.3640922103453	-701.359327358678
1600000	-60431.10086943942	-694.1052710713518	-59736.99559836807	5.544910419273255	2016.9646785807267	80.7364123285421	3.813984204214647	-0.6091606601119641	1.7115500608410945	0.025435905712404616	0.0011	0.0010999999999999996	0.0011039812461784524	905.8124886284124	4.581141870230191	0.9997304653672264	-59379.16804301898	0.0	-357.8275553490869	-682.4141036817517
1650000	-60404.236031187625	-696.6340408539374	-59707.601990333686	5.3932580548363305	2017.1163309451638	81.16803246362704	3.455519458732114	-0.8314287215444833	1.4875865480626076	0.015128824358042588	0.0011	0.0011000000000000003	0.0018607107358583515	537.429048335499	3.578555259904821	0.9997304653672264	-59384.54835056238	0.0	-323.0536397713063	-684.8909994723164
1700000	-60396.87632962969	-691.8630399230173	-59705.01328970667	5.982612729545963	2016.526976270454	83.25174477149768	3.448756708529562	-0.8011479344008907	1.5402395053279396	0.03252573911372969	0.0011	0.001099999999999999	0.0015401106976514112	649.3039763472509	4.06736538061012	0.9998243084882178	-59372.06198365019	0.0	-332.9513060564848	-679.7325555207169
1750000	-60406.92076529631	-695.3984121058072	-59711.5223531905	5.998229922943068	2016.511359077057	84.76779689165568	4.198048831676491	-0.5026409658859547	1.6287321372118024	0.03811242092183367	0.0011	0.0010999999999999988	0.0013876958693486998	720.6189930285944	3.74252881598061	0.9998243084882178	-59377.8880216168	0.0	-333.6343315736994	-683.0787616202834
1800000	-60428.909262205925	-708.9693951981192	-59719.93986700781	5.179484832963553	2017.3301041670366	81.1999497464621	4.48858894586952	-0.5147348133723824	1.6025024569197832	0.034666281158244404	0.0011	0.0011000000000000005	0.0016067729247273678	622.3654784136202	3.952369395422831	0.9996801404062121	-59370.62767338976	0.0	-349.31219361804443	-697.126033703994
1850000	-60412.001287600324	-705.4995354195339	-59706.50175218079	5.451266883287214	2017.0583221167128	81.74710185910706	4.750379909693499	-0.38713419321546816	1.5616285045460996	0.04216911789295595	0.0011	0.0010999999999999992	0.0013060471475902545	765.6691428368936	4.041406310441363	0.9996801404062121	-59344.288317916915	0.0	-362.2134342638757	-693.7064052714941
1900000	-60435.3342787474	-706.2677998319979	-59729.0664789154	5.692676784962209	2016.8169122150377	81.85938413103871	4.208470268882875	-0.44443817665274343	1.5119453344719629	0.025244442425776274	0.0011	0.0011000000000000007	0.0012074184375631498	828.2132928317972	4.060880733686002	0.9996801404062121	-59373.2181894796	0.0	-355.84828943580214	-694.688909256497
1950000	-60429.47839473961	-710.0583450227921	-59719.42004971682	5.662891773543042	2016.8466972264569	84.18683404902744	4.023239229002415	-0.5273403877754086	1.5874966183651629	0.03204969295137259	0.0011	0.0011000000000000003	0.0014498690216741114	689.7174745104466	3.7453747377186484	0.9996801404062121	-59365.59371724943	0.0	-353.8263324673875	-698.3871954007874
2000000	-60401.01796386691	-695.52036058222	-59705.49760328469	5.746151157346793	2016.7634378426533	82.53513529317064	3.303787313484204	-0.6567595557437009	1.618624012356207	0.006374157160772707	0.0011	0.0011	0.0014516285980699245	688.8814407001854	4.025700757878751	0.9996801404062121	-59366.44634517311	0.0	-339.05125811157376	-684.082823716526
2050000	-60405.77388355707	-715.8945313912301	-59689.87935216584	5.527638947526082	2016.9819500524738	85.15535883538602	5.015311996664369	-0.40013927225822754	1.6408173281716067	0.02804280407556936	0.0011	0.0010999999999999998	0.0014854269505906643	673.2071204190556	3.8206145704639507	0.9996801404062121	-59349.4436176814	0.0	-340.43573448444147	-703.9781132492823
2100000	-60434.32856551417	-718.5356457570456	-59715.79291975713	5.547242400143597	2016.9623465998563	83.9542584284744	3.6926632059886026	-0.7200811489877528	1.6241812147606554	0.025675569342721034	0.0011	0.0011000000000000005	0.0015979247778487903	625.8116864213422	3.806967773728238	0.9996801404062121	-59359.38384574843	0.0	-356.40907400869406	-706.8972174287521
2150000	-60393.65094237311	-702.7014571707384	-59690.94948520237	5.702142784086605	2016.8074462159134	84.58944412326102	3.723926804473911	-0.5466981258185324	1.4451835945245257	0.03595861401288279	0.0011	0.001100000000000002	0.001582841771046586	631.7750885098219	3.6962090010924196	0.9996801404062121	-59352.277594979045	0.0	-338.67189022332536	-691.114433432361
2200000	-60384.20075550276	-702.3986096161029	-59681.80214588666	5.6708828204758275	2016.8387061795243	83.67694166909537	3.9167345229350494	-0.6888220788642601	1.5159426850338693	0.019669482820239656	0.0011	0.0011000000000000016	0.001296006384682242	771.6011370153724	3.954744798268996	0.9996424651615092	-59335.92038323703	0.0	-345.8817626496207	-690.974481951715
2250000	-60384.012995987054	-701.3249363708363	-59682.688059616215	5.397743661584045	2017.111845338416	83.97818913798267	3.777552934043774	-0.7507472217229962	1.6655145722800302	0.009677899795035	0.0011	0.0011000000000000007	0.0012531585714351716	797.9836094124597	4.0515855451627	0.9993536165263676	-59327.72628529399	0.0	-354.9617743222228	-690.5032945044245
2300000	-60391.33847220914	-681.8266420317764	-59709.51183017737	5.5214880448333234	2016.9881009551666	80.84071999453185	3.0974089493848105	-0.8637366519467502	1.635577948952987	0.03956864573857666	0.0011	0.0010999999999999994	0.0013671227720168607	731.4632017464976	4.13446271814956	0.9993536165263676	-59363.69637934074	0.0	-345.81545083662917	-671.1113678513556
2350000	-60419.73802597412	-704.248750799551	-59715.489275174565	5.40661590139691	2017.1029730986031	82.13201586803753	4.336221361963135	-0.559139049461453	1.5473034876632459	0.04216403297429842	0.0011	0.0011000000000000016	0.001232016774318987	811.6772602814298	4.15583402321962	0.9993536165263676	-59363.615272359166	0.0	-351.8740028153988	-693.2834487753674
2400000	-60435.404129190836	-726.0299043658573	-59709.37422482498	5.699604329969527	2016.8099846700304	87.85376251974249	4.109177681768675	-0.824060109742434	1.550291484224822	0.03262682495891577	0.0011	0.0011000000000000005	0.001762156839229488	567.486376772941	3.520178520493761	0.9993536165263676	-59366.28327064618	0.0	-343.0909541787964	-714.9543651484458
